"Population (Number) by Sex, Province or County and Census Year"

" "," ","2006","2011"
"Both sexes"
" ","Dublin",1187176,1273069
" ","Cork",481295,519032
" ","Limerick",184055,191809
" ","Galway",231670,250653
"Male"
" ","Dublin",582557,619902
" ","Cork",240814,257470
" ","Limerick",92680,95815
" ","Galway",116476,124758
"Female"
" ","Dublin",604619,653167
" ","Cork",240481,261562
" ","Limerick",91375,95994
" ","Galway",115194,125895

